date,score,scoreText,title,text,replyDate,replyText,version,thumbsUp,criterias/0/criteria,criterias/0/rating,criterias/1/criteria,criterias/1/rating,criterias/2/criteria,criterias/2/rating
2022-08-15T13:44:39.607Z,5,5,,Super recomendo. Me mantém atualizada. Contabiliza corretamente o ciclo menstrual e tem muitas outras utilidades complementares referente ao assunto. Top quem costuma perder a data e passa vergonha por ser surpreendida em momentos impróprios. Seus problemas acabaram. Baixe o APP.,,,1.744.264.GP,21,,,,,,
2022-08-21T18:31:14.162Z,5,5,,"Uso esse app há mais de 1 ano e não troco por nada. É muito prático e fácil de usar. É simples e rápido. As informações ficam salvas, precisa trocar de cel ou acabou desinstalando o app, o backup é a salvação. Super recomendo.",,,1.744.264.GP,12,vaf_never_display_easy_to_use,1,vaf_phase1_verbal_feedback,2,vaf_phase1_smart_scales,3
2022-08-15T14:16:01.634Z,3,3,,"Eu gosto demais desse app, uso há anos já. É tudo muito bem organizado e tem muitas ferramentas, eu só acredito que poderia ter uma interface mais atrativa e no modo gestacional poderia ter mais informações, coisas mais atrativas e de ajuda pra gestante.",,,1.744.264.GP,24,,,,,,
2022-08-13T00:24:52.306Z,5,5,,"Muito bom uso ele desde 2016 já mudei de celular várias vezes e sempre consigo recuperar os dados. Ele é muito bom calcula certinho a data e raro errar super recomendo. Ele ainda tem o lembrete pra beber água, é da para personalizar do jeito que quiser. Muito bom e prático já indiquei pra irmã e prima elas usam e é muito bom e útil",,,1.744.264.GP,26,vaf_phase1_workout_diary,3,vaf_phase1_training_plans,3,vaf_never_display_make_you_happy,1
2022-07-07T15:59:13.634Z,5,5,,"Ótimo !Não tenho do que reclamar 👏🏾eu tinha o clue e estou experimentando esse por causa dos desenhos de coração florzinhas e etc. Rsrs Muito legal parabéns 👏🏾😍,Espero que o armazenamento na nuvem funcione mesmo quando eu trocar de telefone bjs,,, ( PODERIA TER A OPÇÃO DE VIRAR A TELA, digo isso porque a parte de baixo do meu telefone está com defeito ) Editado 2022 : SUPER INDICO! MESMO MINHA MENSTRUAÇÃO IRREGULAR ELE ACERTA OS DIAS . ATE DE FERTILIDADE.",,,1.744.264.GP,137,vaf_phase1_workout_diary,2,vaf_never_display_positive_impact,1,vaf_phase1_real_time_following,3
2022-07-12T22:24:33.288Z,5,5,,"Ele é incrível, sempre marcando na data certinha, se quando vai descer, quando vai acontecer a ovulação, e ele n desregula, pode iniciar o cll quantas vezes quiser e ele não muda. Também da pra colocar senha para que ninguém entre no aplicativo sem sua permissão. Ele também ajuda a contar dias de gravidez para aquelas mulheres q estão na gestação e n sabe quantos dias exatos esta grávida!!! É um aplicativo maravilhoso, amei ele, parabéns pelo app incríveis!!!",,,1.744.264.GP,50,,,,,,
2022-08-02T01:05:15.535Z,5,5,,"Gostei muito do aplicativo, tem várias opções de sintomas e emoções e tmbem mostra certinho as fases do ciclo. Além disso possibilita alterar com facilidade as configurações.",,,1.744.264.GP,0,,,,,,
2022-08-06T11:26:50.856Z,5,5,,"Amo demais esse app!! E é totalmente gratuito!!Sempre achei que meu ciclo fosse irregular, mas com esse aplicativo aprendi mais sobre o meu corpo e sei agora que não é. Ele acerta 98% das vezes, já o uso há mais de 8 anos e só tem melhorado com diversas opções pra adicionar: peso, temperatura, água consumida, anticoncepcional etc. Recomendo sempre que posso as minhas conhecidas, pois ele é incrível!!",,,1.744.264.GP,474,vaf_never_display_deceptive_ads,3,vaf_phase1_fitness_devices,2,vaf_phase1_verbal_feedback,3
2022-08-07T22:16:05.547Z,4,4,,"Bonitinho e bem útil. Espero que não apareça aqueles inconvenientes comerciais, da qual só sujam a interface e não servem de nada. Desinstalei o último aplicativo por causa disso.",,,1.744.264.GP,0,,,,,,
2022-08-03T03:24:52.858Z,5,5,,"ótimo, uso a muitos anos e nunca deixou a desejar em nada... só sugiro colocar uma opção para mulheres inférteis, já que as funções ""risco de engravidar"", gestação, período fértil não são funcionais pra esse grupo. No mais, obrigada pela ferramenta!",,,1.744.264.GP,0,vaf_phase1_smart_scales,1,vaf_never_display_positive_impact,1,vaf_phase1_cardio_training,3
2022-06-25T16:30:03.753Z,5,5,,"O Aplicativo é excelente, uso ele a mais de 6 anos. Sempre que troco de celular não perco meus dados pois ele salva tudo. A tabela super funciona com meu ciclo. Ele é simplesmente perfeito.",,,1.744.264.GP,32,vaf_never_display_ease_of_use,,vaf_never_display_ads_experience,,,
2022-07-27T13:22:05.260Z,4,4,,"Darei quatro estrelas por causa de um detalhe, que é: Backup. Já aconteceu de eu preciso desinstalar o app e quando instalar o backup não funcionar da maneira esperada. Mas tirando esse detalhe o app é incrível, uso a alguns anos já e simplesmente amo.",2022-07-28T03:06:19.100Z,"Olá, gostaríamos de ajudá-lo! Normalmente, se você fez backup antes, ele será restaurado automaticamente após fazer login na mesma conta. Você poderia nos dizer de que maneira você fez backup? Conta do Google ou outros? Você pode nos enviar mais detalhes em ""Definições -> Comunicar erros"". Obrigado.",1.744.264.GP,3,vaf_never_display_ease_of_use,,vaf_never_display_ads_experience,,,
2022-08-15T16:34:00.293Z,5,5,,"Já uso há anos, me ajuda com relação ao ciclo, nível de acerto muito alto pra mim que tenho um ciclo regular, fora as opções de anotações que dá pra colocar cada dia, enfim, muito bom.",,,1.744.264.GP,0,,,,,,
2022-06-28T16:49:31.108Z,5,5,,"Perfeito 👏 Faço uso do mesmo a anos! No entanto ultimamente venho sentindo falta de um pequeno recurso ""leitura biométrica para ter acesso ao APP"" ficar digitando a senha não é muito cômodo, no mais, não tenho do que reclamar!",,,1.744.264.GP,10,vaf_never_display_considerate_of_time,1,vaf_phase1_guide_exercise,3,vaf_phase1_voice_coach,3
2022-08-22T11:18:22.291Z,5,5,,O aplicativo é muito bom. Eu estou amando ele. Até inclusive ele mostra certinho o dia da ovulação o período fértil e tudo mais.. Pra ele funcionar vc só não pode esqueçer de anotar tudo certinho nele!! Como por exemplo;o dia que a mestruaçâo começou se o fluxo de sangue é pouco ou grande e etc..,,,1.744.264.GP,0,,,,,,
2022-08-07T13:58:04.373Z,5,5,,"App muito bom. Tenho há anos. Porém, uma dica: ao trocar de aparelho não esqueça de antes fazer o backup no aplicativo para resgatar todas as informações e mater os controles",,,1.744.264.GP,1,,,,,,
2022-08-06T12:29:25.440Z,5,5,,"Adorei o aplicativo, a margem de erro do início da menstruação é muito pequena ( geralmente ""errando"" só em um dia de antecedência ) e também é muito prático. Facilitou muito minha vida após eu começar a usar.",,,1.744.264.GP,0,,,,,,
