date,score,scoreText,title,text,replyDate,replyText,version,thumbsUp,criterias/0/criteria,criterias/0/rating,criterias/1/criteria,criterias/1/rating,criterias/2/criteria,criterias/2/rating
2022-08-23T04:00:43.915Z,1,1,,"Optei pelo plano pago e, um ano depois, recebi a cobrança novamente. Até aí tudo bem, pois constava no termo que a renovação era automática. Entretanto, nessa segunda cobrança, eu não estava interessada em permanecer no plano Plus, então tentei cancelar a assinatura, o que aparentemente é impossível. Já excluí meus dados do Google assinatura e pelo 3o ano continuo sendo cobrada. Não é admissível que a possibilidade de cancelar a assinatura seja difícil dessa maneira.",2022-08-23T14:53:19.770Z,"Olá, agradecemos o contato. Lamentamos saber que tenhas experienciado problemas, para proceder com o cancelamento da tua assinatura Clue. A melhor forma de te podermos ajudar é através do contato em support.helloclue.com/hc/pt. Podes submeter um pedido e nós entraremos em contato contigo assim que possível. Atenciosamente, Clue.",70.0,15,,,,,,
2022-08-14T01:12:57.726Z,4,4,,"Gosto do aplicativo ,ainda não estamos completamente sincronizados ,mas é bom para dar um norte,acho as descrições muito vagas e com isso fica difícil perceber quais padrões se repetem mês a mês ,lembrando que eu utilizo a versão gratuita . Instalei uns dois anos atrás ,parei de acompanhar e tenho feito mais regurlamente. Instalei esse aplicativo ao ouvir um podcast que indicava por conta da política de proteção de dados utilizada na Europa ,ou seja,era a menos invasiva nesse sentido.",2022-08-16T16:14:44.790Z,"O feedback dos nossos utilizadores é muito importante para nós. Estamos constantemente à procura de formas de melhorar a nossa aplicação e agradecemos a tua sugestão. Teremos todo o prazer em transmiti-la à equipa relevante para consideração. Para mais ajuda, escreve-nos diretamente através de support.helloclue.com/hc/pt. Atenciosamente, Clue.",70.0,14,,,,,,
2022-07-23T03:31:24.658Z,5,5,,"O aplicativo é excelente, mas nas últimas 2 semanas está travando muito, problema que nunca aconteceu antes. Ele é bem explicativo e tem muitas opções para facilitar o monitoramento do ciclo menstrual. Acredito que seja o maior aplicativo nessa segmentação. Edit: Exclui e baixei o aplicativo novamente, ele voltou a funcionar normalmente.",2022-07-26T17:00:14.120Z,"Olá, agradecemos o teu comentário. Lamentamos saber que tenhas experienciado alguns problemas técnicos. A melhor forma de te podermos ajudar é através do contato em support.helloclue.com/hc/pt. Podes submeter um pedido e nós entraremos em contato contigo assim que possível. Espero ter ajudado. Atenciosamente, Clue.
",70.0,21,vaf_never_display_ease_of_use,,vaf_never_display_ads_experience,,,
2022-08-19T01:20:48.793Z,2,2,,"O app é ótimo para monitorar meu colo menstrual, porém preciso que pare de travar. Ele não está pesando minha memória, até porque ela não chegou nem na metade do armazenamento. Apesar de eu sempre manter o app atualizado, o mesmo insiste em travar. O mesmo problema ainda persiste.",2022-08-23T10:18:20.580Z,"Olá, agradecemos o contato. Lamentamos saber que tenhas experienciado alguns problemas técnicos. A melhor forma de te podermos ajudar é através do contato em support.helloclue.com/hc/pt. Podes submeter um pedido e nós entraremos em contato contigo assim que possível. Espero ter ajudado. Atenciosamente, Clue.",70.0,0,,,,,,
2022-08-18T21:37:28.276Z,5,5,,"O app é muito bom, uso apenas a versão gratuita há mais de um ano e nunca teve anúncios. Muitas funcionalidades são exclusivas para os assinantes, mas as funcionalidades essenciais para mim, que são: monitoramento dos ciclos menstruais e previsão de próximos ciclos, estão disponíveis para o plano gratuito.",,,70.0,0,vaf_never_display_ease_of_use,,vaf_never_display_ads_experience,,,
2022-08-29T02:48:34.490Z,5,5,,"Uso há anos e não tinha versão paga era somente gratuito, enfim, continua bom, porém bloquearam coisas que deveriam continuar no modelo gratuito, assim como marcar gravidez....pois é algo que todas gostariamos de pelo menos colocar no período que estamos, para não ficar aquele espaço em branco",2022-08-30T14:32:16.264Z,"Olá, agradecemos o contato. Se não desejares usar o modo gravidez incluído no Clue Plus, poderás interromper temporariamente os cálculos do Clue e desligar as previsões para que as mesmas não sejam afectadas. Posteriormente poderás retomar os cálculos, assim que tenhas o período novamente. Para mais ajuda, escreve-nos support.helloclue.com/hc/pt.",70.0,0,vaf_never_display_make_you_happy,1,vaf_phase1_real_time_following,1,vaf_never_display_easy_to_use,1
2022-07-25T13:32:56.834Z,5,5,,"Ótimo app, fácil de usar e os resultados estão bem precisos. O único problema é que faço uso do DIU não hormonal e gostaria que o app entendesse essa diferença com o hormonal. Quando marco a opção do DIU como contraceptivo, ele já exclui a janela da fertilidade, primordial para quem prefere acompanhar essa fase do ciclo.",2022-07-26T19:51:27.510Z,"Olá, agradecemos o contato. É com enorme prazer que lemos o feedback de todas as pessoas que utilizam o Clue. O Clue não possui ainda essa opção do DIU disponível, contudo, teremos todo o prazer em transmitir a tua sugestão à equipa relevante para futura consideração. Atenciosamente, Clue.",70.0,0,vaf_never_display_difficult_to_use,2,,,,
2022-08-01T00:38:49.914Z,5,5,,"O app me ajuda muito e sempre tem previsões certeiras, acredito que para saber o dia exato da menstruação descer é ser quase um adivinha, mas o aplicativo tem uma margem de erro de 3 dias antes ou depois, isso já é ótimo e você não tem muitas surpresas.",,,70.0,0,,,,,,
2022-08-10T09:46:51.570Z,5,5,,"Escrevo esse review como homen, sempre tomei mais conta do período mestral da minha namorada mais doque ela mesma, sempre fico preocupado, tinha um trabalho enorme de ficar marcando calendário todo ciclo, todo anticoncepcional, esse app facilitou tudo, ela tem ciclo não muito regulares, é o app sempre acerta com uma margem de erro pequena. Recomendo muito.",,,70.0,0,,,,,,
2022-08-03T13:56:33.947Z,5,5,,"Gosto muito, uso há 4 anos. A app, além de ser calendário menstrual, tem função estatística do ciclo e parte dos dados podem ser compartilhados com o parceiro.",,,70.0,0,,,,,,
