date,score,scoreText,title,text,replyDate,replyText,version,thumbsUp,criterias/0/criteria,criterias/0/rating,criterias/1/criteria,criterias/1/rating,criterias/2/criteria,criterias/2/rating
2022-08-23T01:52:55.410Z,1,1,,"O app é maravilhoso, uso há 2 anos. Mas a remoção de alguns recursos da versão grátis é decepcionante, entendo que o Premium é necessário para garantir o bom funcionamento do app, mas não é todo mundo que tem condições de pagar o Premium. Achei isso uma grande injustiça e falta de sensibilidade com quem não pode pagar. Poderiam continuar permitindo acesso aos usuários da versão grátis dos recursos básicos. Um app tão bom acaba se tornando decepcionante.",2022-08-26T13:00:56.329Z,"Olá, Ana! Sentimos muito por isso. O Flo também tem opções gratuitas. Esses recursos incluem um monitorador avançado, previsões e uma grande comunidade para interações anônimas. Se tiver alguma dúvida, ficaremos felizes em ajudar. Atenciosamente, Equipe de Suporte do Flo",8.18.0,86,,,,,,
2022-08-24T12:45:45.325Z,3,3,,"Gosto demais desse aplicativo, uso a algum tempo e indiquei pras minhas irmãs, mais é muito complicado quando precisamos mudar de aparelho de celular ou formatar, pois o app não volta o que já tem salvo mesmo que a conta esteja vinculada. Essa seria ao menos uma função que é necessária para quem usa seja para a versão gratuita quanto a Premium. Não seria a primeira vez que perco meus dados, por esse motivo não darei todas as estrelas.",2022-08-26T13:24:15.896Z,"Olá, Alieh! Agradecemos seus comentários sinceros. Com o plano Premium, oferecemos recursos avançados às assinantes, enquanto o monitoramento básico de ciclos é gratuito para todas as usuárias. Convidamos você a continuar acompanhando seu ciclo e compartilhar comentários pelo e-mail support@flo.health. Atenciosamente, Equipe do Flo",8.18.0,34,vaf_never_display_ads_experience,,vaf_never_display_ease_of_use,,,
2022-08-21T14:02:12.900Z,1,1,,"O app é muito bom, porém é limitado a versão Premium. Quando tento assinar a versão para ter acesso aos conteúdos, ocorre erro no app e diz para acessar novamente mais tarde. Já está assim há dias. Precisam lançar uma versão para corrigir esse bug. Por causa disso, uso outros apps muito bons.",2022-08-24T13:46:24.367Z,"Olá, Carla! Sentimos muito por isso. Queremos muito ajudar, mas precisamos do seu identificador no aplicativo para descobrir o motivo do problema e fornecer uma solução. Entre em contato conosco pelo aplicativo (Menu - Contatar suporte), e retornaremos com mais detalhes da sua solicitação. Atenciosamente, Equipe do Flo",8.18.0,0,,,,,,
2022-08-10T13:11:14.323Z,3,3,,"No começo era muito bom, depois foi reduzindo o acesso para usuários gratuitos, como estou gestante migrei para a área do mesmo e você não tem acesso a absolutamente nada que não tenha que pagar, até pensei se pagava mas é muito caro, aí descobri que tem outros aplicativos muito bons e que não cobram nada pelas dicas, fica a dica!!",2022-08-11T09:03:06.619Z,"Olá, Cristina! Agradecemos as informações. Compreendemos que você não tenha gostado da remoção de alguns recursos do plano gratuito. Com o Premium, garantimos os fundos necessários para desenvolver o aplicativo, mantendo os recursos básicos grátis. Toque no círculo na tela principal para ver mais detalhes sobre gravidez. Atenciosamente, Flo",8.18.0,1,,,,,,
2022-08-22T13:01:56.983Z,1,1,,"Eu uso esse app a mais de 10 anos, porém agora que tem a versão Premium ficou péssimo pra quem não quer pagar. Não mostra mais quando a menstruação está atrasada, se não veio no dia correto, o App muda o dia para o próximo, como se fosse pra menstruação vir no dia seguinte e dessa forma não tem como acompanhar se está atrasando, achei péssimo!!!!!! Vou procurar outro.",2022-08-26T12:16:29.418Z,"Olá, Franciane ! Agradecemos seus comentários. Como os ciclos costumam mudar, exibir logo um atraso não seria muito correto. O Flo considera um intervalo no qual sua menstruação pode chegar. Se ela não for registrada até o final desse intervalo, o aviso de atraso será exibido. Atenciosamente, Equipe de Suporte do Flo",8.18.0,0,,,,,,
2022-08-18T14:36:31.631Z,4,4,,"gosto muito do aplicativo! Gostava mais quando ele monitorava os passos, não sei oq aconteceu que depois de 1 mês de uso ele parou de mostrar a quantidade de passos. Já ativei tudo no aplicativo, mas não aparece a opção de contar os passos ;-;",,,8.18.0,1,,,,,,
2022-08-18T14:31:31.818Z,5,5,,"É um ótimo app, eu sempre ficava mega perdida nos meus ciclos, mas agora acompanho tudo certinho. Uma boa dica: o seu parceiro pode instalar também e preencher com o seu histórico de ciclo, pra ficar a par do seu ciclo igual a vc, isso pode ajudá-lo a te ajudar",,,8.18.0,0,vaf_never_display_ease_of_use,,vaf_never_display_ads_experience,,,
2022-08-27T12:35:05.700Z,5,5,,"Um app sensacional. Interface muito bem feita, a versão grátis atende exatamente a que se pede e mais um pouco. Não tenho o que reclamar, só lembrar msm de registrar minha menstruação 🤗. Muito bom, parabéns!",,,8.18.0,0,vaf_real_time_following,1,vaf_phase1_creating_routes,3,vaf_phase1_smartwatch_support,3
2022-08-22T21:30:05.942Z,5,5,,"Já usei uma vez quando eu queria engravidar e me ajudou muito. Agora voltei a usar só para estar por dentro sobre meu ciclo e nao ser pega de surpresa com a menstruação. Mas agora que voltei a instalar apareceu pra mim a cobrança da mensalidade, achei que fosse grátis, mas o aplicativo é ótimo.",,,8.18.0,0,,,,,,
2022-08-19T02:51:52.234Z,5,5,,Aplicativo maravilhoso. Numas consegui marcar as datas dos meus ciclos. E com a Flo isso é possível pois o Aplicativo nos lembra. E detalhe nos ajudar a entender nosso humor pelo período do ciclo. Amei. Estão de parabéns,,,8.18.0,0,,,,,,
2022-08-11T23:44:52.670Z,2,2,,"Tem informação até demais... Eu só queria saber o meu período fértil pra eu evitar sair de casa, não quero engravidar de jeito nenhum, e não consegui encontrar a informação do ""período não engravidavel"". Poderia ser mais objetivo, nem todas querem encher a menstruação de flores, EU só queria q ela termine rápido 🤷🏻‍♀️",2022-08-23T14:48:59.123Z,"Olá, theMonia! Agradecemos de verdade seus comentários. Para podermos entender melhor sua solicitação e ajudar você, entre em contato pelo aplicativo (Menu - Contatar suporte) ou pelo e-mail support@flo.health para compartilhar os detalhes do problema. Faremos o possível para ajudar você. Atenciosamente, Equipe de Suporte do Flo",8.18.0,0,,,,,,
2022-08-24T18:27:24.592Z,1,1,,"Já foi muito bom....a informação deveria ser a todos. Hoje se for pra calcular o ciclo e pagar este valor é melhor o método antigo ""Tabelinha"". Já uso a muitos anos e vi o regresso para nós que não temos ou não podemos pagar o pacote Premium....",2022-08-26T13:22:54.640Z,"Olá, Karina! Agradecemos seus comentários sinceros. Com o plano Premium, oferecemos recursos avançados às assinantes, enquanto o monitoramento básico de ciclos é gratuito para todas as usuárias. Convidamos você a continuar acompanhando seu ciclo e compartilhar comentários pelo e-mail support@flo.health. Atenciosamente, Equipe do Flo",8.18.0,0,vaf_phase1_leaderboards,2,vaf_phase1_setting_goals,1,vaf_phase1_track_fitness_activities,1
2022-08-21T18:45:44.938Z,2,2,,"O app era o melhor porém agora é muito limitado, tudo é pago, entendo que seja o trabalho de quem coloca conteúdo importante lá, mas ficou inacessível para mim. Usuária a mais de 4 anos e infelizmente irei procurar um app semelhante acessível para mim.",2022-08-24T13:44:43.726Z,"Olá, Elaine! Agradecemos seus comentários sinceros. Com o plano Premium, oferecemos recursos avançados às assinantes, enquanto o monitoramento básico de ciclos é gratuito para todas as usuárias. Convidamos você a continuar acompanhando seu ciclo e compartilhar comentários pelo e-mail support@flo.health. Atenciosamente, Equipe do Flo",8.18.0,0,vaf_phase1_lockscreen_display,1,vaf_phase1_voice_controls,1,vaf_phase1_importing_recipes,1
2022-08-19T17:12:19.730Z,5,5,,"Amo esse app!!! Muita informação e esclarecimentos fáceis de entender. Muito didático!! Tem opção Premium, mas o nível de informação para não assinantes é incrível também. Parabéns aos desenvolvedores!!! Muito legal saber que qualquer mulher pode ter acesso a esse tipo de informação.",,,8.18.0,0,,,,,,
2022-08-23T06:49:21.517Z,5,5,,"Apesar de ser assinante e ter acesso aos cursos, a maioria deles está em inglês e não possui a opção de mudar para a legenda para português.",,,8.18.0,0,vaf_never_display_ease_of_use,,vaf_never_display_ads_experience,,,
2022-08-26T11:34:20.809Z,1,1,,"Eu amava esse app, usei por anos a versão gratuita mas infelizmente eles limitaram tudo, agora nem o básico da pra usar mais um desrespeito com os usuários antigos que não tem condições de pagar o Premium, muito triste estou desinstalando... não baixem é totalmente Premium agora",,,8.18.0,0,vaf_phase1_tracking_weight,3,vaf_phase1_tracking_workouts,1,vaf_phase1_period_tracking,1
2022-08-27T16:13:50.338Z,5,5,,"Sou apaixonado pelo Flo, um aplicativo completo, super informativo, amo o chat que ele disponibiliza para interagirmos com outras mulheres sobre diversos assuntos, as pesquisas que ele entrega são ótimas também... Só amores pelo serviço de vocês S2.",2021-06-03T12:07:55.376Z,"Olá, Agradecemos seus comentários. É realmente ótimo saber que você gosta de usar nosso aplicativo! Estamos sempre trabalhando para aprimorar o Flo para que ele seja ainda mais útil e interessante para você no futuro. Atenciosamente, Equipe de Suporte do Flo",8.18.0,0,,,,,,
2022-08-18T14:16:33.371Z,3,3,,"Eu amava o app, uso já tem muito tempo, porém com a última atualização me senti muito limitada, antes tínhamos acesso a diversos conteúdos que agora só são possiveis no premium e agora estou pensando em mudar de aplicativo",2022-08-19T14:41:47.121Z,"Olá, Maria! Agradecemos as informações. Lamentamos que esteja decepcionada com a remoção de recursos do plano gratuito. Com o Premium, garantimos os fundos necessários para desenvolver o app, mantendo os recursos básicos grátis. Queremos ouvir seus comentários. Envie um e-mail para support@flo.health. Atenciosamente, Equipe do Flo",8.18.0,0,,,,,,
2022-08-26T00:38:17.640Z,5,5,,"Adorei está me ajudando muito, é muito bom é me ajuda quando eu estou com dúvida, ainda mas vc pode compartilhar para ajudar outras pessoas também 😎👍, e tem pouquíssimos anúncio, é muito raro ver anúncio nesse app, então eu recomendo muito 👉📱😎",,,8.18.0,0,vaf_never_display_ease_of_use,,vaf_never_display_ads_experience,,,
2022-08-16T15:30:05.134Z,4,4,,"Deveria ter mais opções de sintomas, isso deixa a desejar . Uso a forma grátis já tem bastante tempo, não mudou muitas coisas, mas o app é bom",,,8.18.0,0,,,,,,
2022-08-26T15:23:06.591Z,5,5,,"O app é muito bom. Aprendi .hita coisa sobre o meu funcionamento que nem imaginava que tinha ligação com meu ciclo. A partir disse, já deixo algumas atividades mais eatrategicas para certos dias do periodo porque sei que vou co seguir executar com mais animo.",,,8.18.0,0,,,,,,
2022-08-19T10:53:33.575Z,5,5,,"Um aplicativo extremamente útil, marca o dia da sua menstruação e sempre tem varias informações interessantes, recomendo bastante.❤🥰",,,8.18.0,0,,,,,,
2022-08-23T12:11:50.459Z,3,3,,"O app e maravilhoso cai meu ciclo certinho,mais antes você podia conversar,ver a notícias, agora com essa versão Premium ai que tem que pagar,acabou,com o app,tudo tem que pagar o Premium.fizram uma palhaça.",2022-08-24T12:50:17.277Z,"Olá, Stephanie! Sentimos muito por isso. O Flo também tem opções gratuitas. Esses recursos incluem um monitorador avançado, previsões e uma grande comunidade para interações anônimas. Se tiver alguma dúvida, ficaremos felizes em ajudar. Atenciosamente, Equipe de Suporte do Flo",8.18.0,3,,,,,,
2022-08-17T11:08:41.371Z,5,5,,"É muito fácil de usar, nunca tive qualquer problema, a única coisa é que quando troquei de celular eu perdi todos os dados, achei que recuperaria quando acessasse a conta.",,,8.18.0,0,vaf_never_display_ease_of_use,,vaf_never_display_ads_experience,,,
2022-08-25T20:19:57.312Z,4,4,,O app e ótimo mas tem um único problema quando vai ver tem algumas coisas q tem Premium e isso fica chato pq tem gente q n consegue assinar melhorem isso!,,,8.18.0,0,,,,,,
2022-08-20T13:18:01.922Z,3,3,,"Uso o aplicativo a anos e sempre optei por ele. Porém, recentemente, tudo o que quiser fazer dentro do app tem que tornar-se Premium, o que não é meu interesse.",2022-08-23T14:44:43.879Z,"Olá, Eduarda! Agradecemos as informações. Lamentamos que esteja decepcionada com a remoção de recursos do plano gratuito. Com o Premium, garantimos os fundos necessários para desenvolver o app, mantendo os recursos básicos grátis. Queremos ouvir seus comentários. Envie um e-mail para support@flo.health. Atenciosamente, Equipe do Flo",8.18.0,0,,,,,,
2022-08-28T20:14:24.600Z,5,5,,"uso o app tem 4 anos me ajudou muito na minha primeira gestação e agora vai me ajudar na minha segunda gestação, eu amo esse app, nas menstruações também sempre pontual. 👏👏",,,8.18.0,0,,,,,,
2022-08-23T17:02:39.568Z,3,3,,"Não está dando para saber mais nada, todas as informações só são acessíveis para o Premium... era muito bom, mas o Premium tomou conta do app",2022-08-24T12:00:54.853Z,"Olá, Isadora! Entendemos seu descontentamento porque alguns recursos estão só no Flo Premium. Com esse plano, garantimos os fundos necessários para desenvolver e melhorar o app, enquanto o acompanhamento básico do ciclo continua gratuito. Queremos ouvir seus comentários: envie um e-mail para support@flo.health. Atenciosamente, Equipe do Flo",8.18.0,0,,,,,,
