date,score,scoreText,title,text,replyDate,replyText,version,thumbsUp,criterias/0/criteria,criterias/0/rating,criterias/1/criteria,criterias/1/rating,criterias/2/criteria,criterias/2/rating
2022-05-22T12:35:10.412Z,5,5,,"Aplicativo maravilhoso, excepcional. Mais Sinto falta de mais algumas funções, como por exemplo: Dicas médicas, mais opções de humores, ser bem mais completinho mesmo, ter mais opções pra gente poder ultilizar, se tratando de um todo que acontece no nosso mundo feminino, gostaria de passar mais tempo acompanhando o meu ciclo ao invés de colocar apenas o básico do básico, afinal nosso corpo, nossos hormonios, nosso organismo muda o tempo todo, e a todo momento.",,,3.6.9.6,7,,,,,,
2022-08-11T12:56:21.754Z,5,5,,"Utilizo o app desde setembro de 2016 e, é simplesmente perfeito! Fácil de usar, dicas importantes todos os dias, visualização de calendário dinâmico e você ainda pode deixar do seu jeito os lembretes e notas.",,,3.6.9.6,0,,,,,,
2022-06-08T15:42:26.935Z,4,4,,"Está apresentando inconsistências frequentes, as janelas fecham, não salva a informação, do nada aparece anúncio quando se está inserindo informação. Antes estava melhor com menos anúncios/ menos frequentes, pelo menos não atrapalhava e não fazia perder a informação inserida. Depois de anos usando, hoje estou pensando seriamente em desinstalar.",,,3.6.9.6,50,vaf_phase1_personal_coaching,2,vaf_never_display_app_description,1,vaf_period_tracking,1
2022-08-05T11:38:55.359Z,1,1,,"Uso esse aplicativo há MUITOS anos e tinha a versão Premium, daí agora entrei e do nada me aparece propaganda. Quer cobrar mensalidade? Tudo bem, mas não dá pra tirar de quem já pagou pelo aplicativo muito antes desse novo método.",,,3.6.9.6,0,,,,,,
2022-04-13T02:19:07.654Z,4,4,,"Excelente app, merece as 5 estrelas! Queria, inclusive, usar a versão Premium, porém, acho que não vou investir e talvez nem continue usando o app pois no celular com o modo noturno, fica muito difícil de visualizar os campos de preenchimento 😔 uma pena, pois uso muito mais a noite esse tipo de app e não gostaria de ter que ficar desativando o modo noturno (tela escura) para poder utilizar 😢 Se tiverem como corrigir isso, o app simplesmente fica perfeito ❤️",,,3.6.9.6,8,vaf_never_display_ease_of_use,,vaf_never_display_ads_experience,,,
2022-05-10T16:50:46.872Z,4,4,,"O app é muito bom,muito completo uso ele há um tempo já , só gostaria de saber se tem como mudar a configuração do ciclo,pois mudei meu método contraceptivo e meu ciclo mudou,mas não consigo mudar no app as configurações iniciais, se pudesse ficaria melhor ainda pra acompanhar, o app é ótimo ,mas poderia ter essa opção também",,,3.6.9.6,4,,,,,,
2022-04-02T19:44:16.434Z,5,5,,"Este app me ajudou muito em meus períodos de menstruação e também me mostra como estou antes destes dias, podemos escrever notas e usar até mesmo como agenda. Super recomendo este app. Ele mostra sobre quando será nosso próximo período e o que está acontecendo em nosso corpo também. Voltei a instalar depois de querer migrar para outros apps! Gratidão vocês são muito bons!",,,3.6.9.6,22,,,,,,
2022-03-06T11:53:38.958Z,5,5,,"APP excelente, já utilizo há alguns anos, inclusive os ciclos e períodos de fertilidade são certinho com Maia. Funciona off-line e mesmo se vc desinstalar o APP, trocar de aparelho, as informações não se perdem, quando for reinstalado tudo que foi registrado anteriormente estará de volta com Maia. Parabéns aos criadores desse aplicativo que tem ajudado muitas mulheres a reproduzir ou mesmo evitar a reprodução. Recomendo!!!",,,3.6.9.6,36,,,,,,
2022-05-26T12:56:43.194Z,5,5,,Gosto bastante de app. Eu acho que ele poderia ter a opção de compartilhar o login com o parceiro. Seria ótimo eles receberem notificações de como agir nas diferentes fases... O ciclo é uma questão do casal.,,,3.6.9.6,0,,,,,,
2022-07-13T11:47:49.344Z,5,5,,"Uso a muitos anos esse aplicativo, é maravilhoso! Porém engravidei e não tem a opção de colocar isso no app. Aí ele fica me mandando lembretes que está atrasada todo dia. Não queria desinstalar o app. Libera uma função aí pra isso. 🙏",,,3.6.9.6,0,,,,,,
